2025-06-01 10:52:50 +0200,0b33cfc,Test recovery with multiple change types,Test User
2025-06-01 10:54:54 +0200,cc90218,implement recovery mechanism with tarballing,Test User
2025-06-01 10:55:19 +0200,dc4b0ae,Revert "Test recovery with multiple change types",Test User
2025-06-01 10:55:38 +0200,829dde8,Revert "Test recovery session",Test User
2025-06-01 11:03:05 +0200,e9c3d35,change retention period to 7 days,Test User
2025-06-01 11:04:44 +0200,9baf7ab,fix lint issues,Test User
2025-06-01 11:49:38 +0200,50619ef,allow the user to configure opening claude in an ide,Test User
2025-06-01 11:52:58 +0200,0606d29,fix linting issue,Test User
2025-06-01 12:08:41 +0200,85e6eb5,simplify docs,Test User
2025-06-01 13:19:07 +0200,08a78d9,update rules,Test User
2025-06-01 14:41:47 +0200,ed57f14,allow dispatching commands to claude code,Test User
2025-06-01 16:49:45 +0200,50f4c66,add pipeline,2mawi2
2025-06-01 17:02:57 +0200,8525869,Fix CI hanging issue with non-interactive mode - Add PARA_NON_INTERACTIVE environment variable to skip interactive prompts - Auto-detect CI environments (CI, GITHUB_ACTIONS variables) - Update all test workflows to use non-interactive mode - Resolves issue where para.sh would hang waiting for user input in CI,2mawi2
2025-06-01 17:03:20 +0200,25d58b5,Add documentation for non-interactive mode and environment variables,2mawi2
2025-06-01 17:08:24 +0200,a523838,Clean up and fix CI workflows - Consolidate test-local.yml and test.yml into working test.yml - Add platform-specific dependency installation (macOS/Ubuntu) - Fix release.yml to use PARA_NON_INTERACTIVE mode - Remove redundant test-local.yml workflow - All core tests now pass in CI environments,2mawi2
2025-06-01 17:09:53 +0200,9116d25,Fix shfmt formatting issues - Remove trailing whitespace from para.sh - Ensures shfmt checks pass in CI,2mawi2
2025-06-01 17:13:24 +0200,7b05da6,Fix integration test branch name issue - Replace hardcoded 'master' with dynamic base branch detection - Fixes IT-9 test failure when repository uses 'main' as default branch - All integration tests now pass,2mawi2
2025-06-01 17:16:26 +0200,c6afd81,add just release,2mawi2
2025-06-01 17:20:34 +0200,1ad9f41,iterate version automatically,2mawi2
2025-06-01 17:23:34 +0200,77a0565,Fix release workflow platform compatibility - Add platform-specific dependency installation for Ubuntu/macOS - Make shfmt conditional for macOS only - Ensures release workflow works in both act and GitHub Actions,2mawi2
2025-06-01 17:26:30 +0200,f61ffe5,remove test-homebrew,2mawi2
2025-06-01 17:27:46 +0200,df05726,Add Homebrew installation instructions - Add installation section at the top of README - Homebrew as recommended installation method - Clean up Quick Start section,2mawi2
2025-06-03 08:34:01 +0200,b2cb6c1,User dedicated branch instead of rebase for finishing,2mawi2
2025-06-03 10:50:18 +0200,14e4416,Use branches for the finish workflow,2mawi2
2025-06-03 11:01:06 +0200,7eb16b2,fix lint issues,2mawi2
2025-06-03 11:14:03 +0200,6ac73ea,fix inconsistent test setup,2mawi2
2025-06-03 11:24:40 +0200,e409800,Fix tests,2mawi2
2025-06-04 09:02:14 +0200,8871e4f,Remove, preserve, argument, fix, tests,2mawi2
2025-06-04 09:04:57 +0200,60f55fe,fix lint issues,2mawi2
2025-06-04 12:45:43 +0200,d703f3c,use para as prefix,2mawi2
2025-06-05 09:50:17 +0200,545d6eb,add benchmarks,2mawi2
2025-06-06 01:30:51 +0200,022cd87,allow multiple tool calls,2mawi2
2025-06-06 01:44:01 +0200,596fe86,fix parallel execution,2mawi2
2025-06-06 01:58:19 +0200,81f77d2,allow opening with rapper,2mawi2
2025-06-06 02:07:28 +0200,8e418e7,update docs,2mawi2
2025-06-06 02:33:20 +0200,b532262,fix finish and starting,2mawi2
2025-06-06 09:00:55 +0200,0b22f2d,allow skipping permissions,2mawi2
2025-06-06 09:01:26 +0200,7f64c1d,Merge branch 'para/multi-20250606-020252-1-20250606-020252',2mawi2
2025-06-06 09:21:44 +0200,cce49a5,fix tests,2mawi2
2025-06-06 09:25:15 +0200,8674911,add docs,2mawi2
2025-06-06 09:37:26 +0200,59fed77,refactor logic into libs,2mawi2
2025-06-06 12:11:46 +0200,d9bcc84,fix lint issues,2mawi2
2025-06-07 11:54:13 +0200,9bbba30,allow passing files,2mawi2
2025-06-07 12:01:38 +0200,c182f63,fix lint issues,2mawi2
2025-06-07 12:21:33 +0200,0dd9fa9,improve error message for empty files in dispatch commands,2mawi2
2025-06-07 12:28:38 +0200,5105f50,fix CLAUDE.md,2mawi2
2025-06-07 12:47:28 +0200,54fcc13,fix CLAUDE.md,2mawi2
2025-06-07 12:50:08 +0200,fe4662e,handle complex special chars for files,2mawi2
2025-06-07 12:50:28 +0200,3df4218,Merge branch 'para/neat_alpha_20250607-121937',2mawi2
2025-06-07 13:05:20 +0200,59b1417,implement version,2mawi2
2025-06-07 14:48:58 +0200,1242277,Fix special character handling for file and prompt based dispatch,2mawi2
2025-06-07 14:50:15 +0200,93b26e5,fix lint issues,2mawi2
2025-06-07 14:59:07 +0200,a4f1789,fix lint issues,2mawi2
2025-06-07 15:31:12 +0200,ca9a975,refactor para-ide,2mawi2
2025-06-07 15:35:19 +0200,2fd9613,add completions,2mawi2
2025-06-07 15:35:29 +0200,fc9f934,Merge branch 'para/ready_amber_20250607-150459',2mawi2
